label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
thumbs_up,0.506164,0.446802,-0.0,0.496905,0.400296,-0.014349,0.468912,0.36812,-0.019759,0.446083,0.349467,-0.023253,0.431764,0.32118,-0.024755,0.436581,0.411212,-0.011618,0.451029,0.420319,-0.023546,0.466847,0.416521,-0.02921,0.4642,0.411749,-0.032159,0.43573,0.446593,-0.009167,0.458254,0.452087,-0.019766,0.473629,0.439041,-0.020612,0.468665,0.431629,-0.0198,0.441868,0.477025,-0.009058,0.465411,0.478708,-0.019113,0.47838,0.463898,-0.016042,0.472945,0.456636,-0.012712,0.45035,0.502016,-0.01061,0.469895,0.502138,-0.016204,0.481819,0.488217,-0.014404,0.479934,0.480589,-0.011759
thumbs_up,0.515886,0.450646,-0.0,0.510149,0.394151,-0.017774,0.48604,0.356507,-0.025408,0.463554,0.339281,-0.029842,0.446464,0.314205,-0.031939,0.460486,0.410772,-0.02664,0.491154,0.422332,-0.040502,0.498262,0.406994,-0.046331,0.490413,0.395418,-0.049453,0.460269,0.451585,-0.022805,0.499268,0.451793,-0.033406,0.502636,0.430896,-0.033546,0.492437,0.421491,-0.034051,0.467438,0.482325,-0.020627,0.503066,0.47875,-0.029605,0.507193,0.457943,-0.025401,0.499025,0.448112,-0.022519,0.477984,0.506688,-0.020602,0.503979,0.499353,-0.026826,0.508715,0.483083,-0.026191,0.504457,0.474738,-0.025007
thumbs_up,0.492797,0.446308,0.0,0.497538,0.402664,-0.023131,0.491079,0.366963,-0.03556,0.482102,0.358467,-0.04449,0.471736,0.34782,-0.053108,0.475579,0.376911,-0.039979,0.469887,0.3571,-0.057392,0.460408,0.338305,-0.068462,0.450959,0.321742,-0.076663,0.462789,0.416142,-0.036091,0.486833,0.42939,-0.0552,0.49668,0.423663,-0.06,0.498478,0.416642,-0.062938,0.462162,0.45439,-0.033651,0.488802,0.465375,-0.050126,0.498512,0.454159,-0.047519,0.500082,0.442885,-0.044761,0.467161,0.483765,-0.033668,0.487552,0.485107,-0.047562,0.496213,0.476181,-0.048048,0.499925,0.466204,-0.046915
thumbs_up,0.500811,0.41512,-0.0,0.497561,0.37043,-0.018997,0.479127,0.331611,-0.030191,0.458961,0.306803,-0.037632,0.439628,0.283172,-0.043128,0.458863,0.382521,-0.037471,0.498154,0.38644,-0.05132,0.497496,0.375184,-0.056206,0.485677,0.369299,-0.059179,0.459238,0.426509,-0.033164,0.505925,0.417595,-0.042784,0.5004,0.40571,-0.040907,0.486288,0.402484,-0.04118,0.466053,0.45929,-0.029695,0.508304,0.446436,-0.037694,0.504468,0.434253,-0.030673,0.491984,0.432116,-0.026759,0.47741,0.485463,-0.028643,0.507234,0.471012,-0.035832,0.504958,0.460358,-0.034803,0.49532,0.459188,-0.033709
thumbs_up,0.488846,0.40082,0.0,0.483615,0.359839,-0.017634,0.47141,0.324227,-0.030509,0.45605,0.298059,-0.040717,0.441791,0.275582,-0.051164,0.481501,0.333119,-0.037059,0.467257,0.317438,-0.056217,0.455217,0.302206,-0.067907,0.444848,0.291299,-0.075971,0.477672,0.363328,-0.036538,0.471209,0.367089,-0.057142,0.473487,0.37406,-0.06276,0.475661,0.373181,-0.066369,0.474843,0.392813,-0.037017,0.470408,0.397849,-0.056372,0.473792,0.399587,-0.055249,0.475586,0.394564,-0.053227,0.471085,0.418167,-0.038642,0.467768,0.421686,-0.054126,0.470922,0.423296,-0.054229,0.473752,0.419432,-0.053263
thumbs_up,0.423042,0.426775,-0.0,0.433345,0.367959,-0.011829,0.453505,0.30592,-0.023453,0.453832,0.262772,-0.032816,0.442864,0.224445,-0.040316,0.451592,0.342728,-0.038364,0.503203,0.343252,-0.054225,0.490704,0.344343,-0.059644,0.470923,0.343219,-0.060876,0.449161,0.390039,-0.038627,0.503603,0.384579,-0.049739,0.488348,0.379178,-0.046453,0.468833,0.38084,-0.044792,0.450387,0.43065,-0.038797,0.498181,0.418963,-0.043928,0.484775,0.411281,-0.033867,0.467611,0.414064,-0.028189,0.45293,0.461022,-0.039941,0.49083,0.443642,-0.038168,0.480294,0.436942,-0.028412,0.464242,0.441671,-0.023291
thumbs_up,0.404029,0.382665,-0.0,0.424227,0.321463,-0.006291,0.450902,0.276693,-0.016899,0.461047,0.234099,-0.025987,0.459168,0.190696,-0.033805,0.462778,0.323846,-0.036496,0.515108,0.328138,-0.046319,0.498164,0.322957,-0.045891,0.478714,0.319021,-0.043518,0.45997,0.3759,-0.037432,0.508767,0.372316,-0.043799,0.494164,0.36086,-0.038498,0.475416,0.357579,-0.035065,0.457098,0.417548,-0.03691,0.499088,0.406433,-0.037348,0.487585,0.395513,-0.027349,0.472084,0.394631,-0.022413,0.456241,0.449184,-0.036608,0.489831,0.434168,-0.034435,0.480601,0.423582,-0.025316,0.467106,0.424245,-0.02007
thumbs_up,0.396659,0.374934,-0.0,0.422071,0.307998,-0.002528,0.453421,0.265169,-0.00998,0.47179,0.223021,-0.01673,0.474115,0.180039,-0.022105,0.477467,0.321329,-0.021542,0.522168,0.330019,-0.02639,0.504491,0.322568,-0.025461,0.485697,0.317939,-0.023886,0.474347,0.374243,-0.022886,0.511783,0.371651,-0.02294,0.497537,0.358433,-0.017794,0.481252,0.356663,-0.015779,0.467761,0.415848,-0.022926,0.498738,0.403794,-0.019012,0.487665,0.392973,-0.010883,0.473306,0.392605,-0.008226,0.461736,0.447367,-0.022968,0.486801,0.432934,-0.017931,0.477451,0.422905,-0.009416,0.465621,0.424477,-0.004802
thumbs_up,0.383259,0.388251,-0.0,0.414387,0.307111,0.001214,0.452193,0.266985,-0.003893,0.483828,0.233299,-0.009225,0.500502,0.191846,-0.013815,0.495034,0.338467,-0.006566,0.51614,0.343294,-0.003661,0.49934,0.335048,-0.002304,0.484185,0.331627,-0.002596,0.491284,0.39538,-0.008013,0.50087,0.382423,0.000877,0.485649,0.371462,0.004619,0.470634,0.372128,0.003102,0.47888,0.440382,-0.007742,0.485358,0.417705,0.002207,0.472965,0.409641,0.008348,0.457647,0.409238,0.007758,0.46606,0.475315,-0.007349,0.471997,0.453547,0.001211,0.460852,0.444787,0.009219,0.448546,0.444357,0.013092
thumbs_up,0.38757,0.382331,-0.0,0.419476,0.288592,-0.004854,0.463666,0.244027,-0.009288,0.502741,0.216901,-0.013195,0.523875,0.175939,-0.016013,0.514625,0.328745,-0.000795,0.511267,0.330424,0.000831,0.492389,0.328317,-0.002505,0.479329,0.3278,-0.00659,0.509751,0.390311,-0.001006,0.498091,0.375545,0.006649,0.481798,0.370634,0.005522,0.468145,0.373427,0.000791,0.494734,0.43872,-0.000775,0.48489,0.414748,0.005757,0.471905,0.408248,0.008504,0.457831,0.406603,0.006864,0.476878,0.475438,-0.001303,0.470904,0.453892,0.003798,0.459709,0.4459,0.009845,0.448391,0.443305,0.013566
